,MKT_UNIQUE_CARRIER,percentage
American Airlines,735559,26.788054833353787
Delta Air Lines,551432,20.082400803832115
Southwest Airlines,531577,19.35930880344025
United Airlines,499418,18.188121916479687
Alaska Airlines,145080,5.283615583825318
JetBlue,88908,3.2379080116262853
Spirit Airlines,65918,2.4006435901199157
Allegiant Air,53160,1.9360146432048106
Frontier Airlines,47134,1.7165559479461165
Hawaiian Airlines,27661,1.0073758661717132
