,Q1 CANCELLATION_CODE,Q1 Percentage,Q2 CANCELLATION_CODE,Q2 Percentage
SECURITY,104375,78.60332713292718,141918,94.52440738249223
WEATHER,12951,9.753213793518945,1330,0.8858457829078388
CARRIER,12083,9.099535346080565,5948,3.961662193034455
NAS,3378,2.543923727473322,943,0.6280846415654826
